Covidence #,Study ID,Title,Reviewer Name,Study ID (dup),Title (dup),Journal Subject Area (Scimago classification),What is the type of study?,What are the objectives of the study?,Which RL technique is used?,Which finance application is tested?,What are the stated key results of the study?,What are the stated limitations of the study?,What asset classes are in the dataset?,What are the number of assets in the dataset?,What is the nature of the asset price dataset?,What is the granularity of the price dataset?,What is the format of the price dataset?,What other datasets are used in the study?,What is the time frame of time series data used?:,Date Start,Date End,Is all used and produced data made publicly available and referred to in the article?,Which continents are represented in the price dataset?,Is dataset quality discussed in article?,Is out-of-sample testing applied?,Was the model tested on diverse test sets?,Was the model tested across different datasets or applications?,Is the non-stationarity problem of financial markets explicitly addressed?,Are all performance results published to avoid post-selection?,Is the process of hyperparameter tuning explicitly described?,Which evaluation metrics are used?,Are results validated using statistical tests or confidence intervals?,Is the code or workflow made publicly available and referred to?,What is the implementation status?,Does the study conduct a benchmark?,What is the model benchmarked against?,Is a standard dataset used for all models?,Does study mention Transfer Learning or similar method as potential avenue for research?,Does study mention alternative generalization methods?,Does the study propose a framework to structure RL research in finance?
125,Aboussalah 2022,What is the value of the cross-sectional approach to deep reinforcement learning?,Mathis Jander,Aboussalah 2021,"What is the value of the cross-sectional approach to deep
reinforcement learning?","Economics, Econometrics and Finance",Primary,"Propose new policy evaluation, reward function and state representation for applicable PM",Policy-based Method; Actor-Critic Method,Portfolio Management,Most of the tested AC models did not beat Mean-Variance-Optimization and Uniform Buy-and-Hold (market); only DPG class with cross-sectional module beat them,limited understanding of stability of algorithms,Equity (Stocks),10,Real-world Data,Daily,Time Series,None,,01.01.2013,31.12.2014,No,North America,No,Yes,None,No,Yes,Yes,Yes,PnL; Other: Custom Geometric Policy Score,No,No,Simulation-based,Yes,Market Indexes; Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
125,Aboussalah 2022,What is the value of the cross-sectional approach to deep reinforcement learning?,Consensus,Aboussalah 2022,"What is the value of the cross-sectional approach to deep
reinforcement learning?","Economics, Econometrics and Finance",Primary,"Propose new policy evaluation, reward function and state representation for applicable PM",Policy-based Method; Actor-Critic Method,Portfolio Management,Most of the tested AC models did not beat Mean-Variance-Optimization and Uniform Buy-and-Hold (market); only DPG class with cross-sectional module beat them,limited understanding of stability of algorithms,Equity (Stocks),10,Real-world Data,Daily,Time Series,None,,01.01.2013,31.12.2014,No,North America,No,Yes,None,No,Yes,Yes,Yes,PnL; Other: Custom Geometric Policy Score,No,No,Simulation-based,Yes,Market Indexes; Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
124,Giorgi 2024,A reinforcement learning algorithm for trading commodities,Mathis Jander,Giorgi2023,A reinforcement learning algorithm for trading commodities,"Business, Management and Accounting; Decision Sciences, Mathematics",Primary,The study proposes a reinforcement learning (RL) algorithm for commodity trading.,Value-based Method,Algorithmic Trading,"RL outperforms traditional analytical models in non-linear market settings.
Better handling of transaction costs and market inefficiencies.
SARSA-based RL strategy mimics optimal trading decisions for linear cases but improves on them for non-linear market structures.
RL strategies mitigate downside risk better than traditional methods, particularly during volatile periods​.",none,Commodity,1,Real-world Data,Daily,Time Series,None,,01.01.1988,31.12.2019,No,North America,No,Yes,None,No,No,Yes,No,PnL,Yes,Yes,Simulation-based,Yes,Algorithmic Baselines,Yes,No,No,No
124,Giorgi 2024,A reinforcement learning algorithm for trading commodities,Consensus,Giorgi2023,A reinforcement learning algorithm for trading commodities,"Business, Management and Accounting; Decision Sciences, Mathematics",Primary,The study proposes a reinforcement learning (RL) algorithm for commodity trading.,Value-based Method,Algorithmic Trading,"RL outperforms traditional analytical models in non-linear market settings.
Better handling of transaction costs and market inefficiencies.
SARSA-based RL strategy mimics optimal trading decisions for linear cases but improves on them for non-linear market structures.
RL strategies mitigate downside risk better than traditional methods, particularly during volatile periods​.",none,Commodity,1,Real-world Data,Daily,Time Series,None,,01.01.1988,31.12.2019,No,North America,No,Yes,None,No,No,Yes,No,PnL,Yes,Yes,Simulation-based,Yes,Algorithmic Baselines,Yes,No,No,No
122,Mansurov 2024,Cryptocurrency Exchange Simulation,Mathis Jander,Mansurov2024,Cryptocurrency Exchange Simulation,"Computer Science; Economics, Econometrics and Finance",Primary,Simulate a cryptocurrency market using a multi-agent system.,Actor-Critic Method,Other: Market Simulation,"Introduced new class of adaptive agents for agent-based model approach.
Formulated conclusion about justification for including agents of similar types in agent-based models.",none,Equity (Stocks); Crypto,1,Mixed,Minute,Time Series,None,,-,-,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,No,None,No,No,Yes,No,Other: Statistical stylized facts,Yes,No,Simulation-based,No,n/a,n/a,No,No,No
122,Mansurov 2024,Cryptocurrency Exchange Simulation,Consensus,Mansurov2024,Cryptocurrency Exchange Simulation,"Computer Science; Economics, Econometrics and Finance",Primary,Simulate a cryptocurrency market using a multi-agent system.,Actor-Critic Method,Other: Market Simulation,"Introduced new class of adaptive agents for agent-based model approach.
Formulated conclusion about justification for including agents of similar types in agent-based models.",none,Equity (Stocks); Crypto,1,Mixed,Minute,Time Series,None,,-,-,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,No,None,No,No,Yes,No,Other: Statistical stylized facts,Yes,No,Simulation-based,No,n/a,n/a,No,No,No
121,Huang 2024,Improving algorithmic trading consistency via human alignment and imitation learning,Mathis Jander,Huang2024d,"Improving algorithmic trading consistency via human alignment and imitation learning
","Computer Science, Engineering",Primary,Enhance trading consistency using Human Alignment and Imitation Learning (IL) in Deep Reinforcement Learning (DRL) models.,Policy-based Method; Actor-Critic Method,Algorithmic Trading,"Introduced novel approach of integrating daily and weekly data into TimesNet model.
Explored Imitation Learning in single asset trading.
Combined IL and RL to enable agents to use experiential data from human experts.
Introduced novel return-based function balancing short-term and long-term returns over flexible time horizon.","Results are based on a few indices.
Proposed reward function is only compared against one other reward function.
Not investigated if inclusion of more features would further improve  the effectiveness of the model.",Equity (Stocks),6,Real-world Data,Daily,Time Series,Market Data,,01.01.2007,31.12.2022,No,Asia; Europe; North America,No,Yes,Different time series,No,No,Yes,No,"Sharpe ratio; Max drawdown; Other: Cumulative return, Annualized return",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,Yes,No,No
121,Huang 2024,Improving algorithmic trading consistency via human alignment and imitation learning,Consensus,Huang2024d,"Improving algorithmic trading consistency via human alignment and imitation learning
","Computer Science, Engineering",Primary,Enhance trading consistency using Human Alignment and Imitation Learning (IL) in Deep Reinforcement Learning (DRL) models.,Policy-based Method; Actor-Critic Method,Algorithmic Trading,"Introduced novel approach of integrating daily and weekly data into TimesNet model.
Explored Imitation Learning in single asset trading.
Combined IL and RL to enable agents to use experiential data from human experts.
Introduced novel return-based function balancing short-term and long-term returns over flexible time horizon.","Results are based on a few indices.
Proposed reward function is only compared against one other reward function.
Not investigated if inclusion of more features would further improve  the effectiveness of the model.",Equity (Stocks),6,Real-world Data,Daily,Time Series,Market Data,,01.01.2007,31.12.2022,No,Asia; Europe; North America,No,Yes,Different time series,No,No,Yes,No,"Sharpe ratio; Max drawdown; Other: Cumulative return, Annualized return",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,Yes,No,No
120,Borrageiro 2022,Reinforcement Learning for Systematic FX Trading,Mathis Jander,Borrageiro 2022,Reinforcement Learning for Systematic FX Trading,"Computer Science, Engineering, Materials Science",Primary,Apply RL to systematic FX trading,Policy-based Method,Algorithmic Trading,Improvement on earlier work via online learning and transfer learning,none,Currency,36,Real-world Data,Daily,Time Series,None,,07.12.20210,21.10.2021,No,Africa; Asia; Australia and Oceania; Europe; North America,No,Yes,Different time series,No,Yes,Yes,No,PnL,Yes,No,Simulation-based,Yes,Random or Naive Strategies,Yes,Yes,No,No
120,Borrageiro 2022,Reinforcement Learning for Systematic FX Trading,Consensus,Borrageiro 2022a,Reinforcement Learning for Systematic FX Trading,"Computer Science, Engineering, Materials Science",Primary,Apply RL to systematic FX trading,Policy-based Method,Algorithmic Trading,Improvement on earlier work via online learning and transfer learning,none,Currency,36,Real-world Data,Daily,Time Series,None,,07.12.20210,21.10.2021,No,Africa; Asia; Australia and Oceania; Europe; North America,No,Yes,Different time series,No,Yes,Yes,No,PnL,Yes,No,Simulation-based,Yes,Random or Naive Strategies,Yes,Yes,No,No
114,Carta 2021,Multi-DQN: An ensemble of Deep Q-learning agents for stock market forecasting,Mathis Jander,Carta 2021a,Multi-DQN: An ensemble of Deep Q-learning agents for stock market forecasting,"Computer Science, Engineering",Primary,"To develop an ensemble approach (Multi‑DQN) that combines multiple Deep Q‑learning agents trained on the same data but at different epochs.
To forecast stock market trends without relying on supervised labels, by directly maximizing a return function (i.e., learning to trade via reinforcement learning).
To reduce overfitting and improve robustness by leveraging the diversity among multiple agents.
To compare the performance of the proposed ensemble against a standard Buy‑and‑Hold strategy in real-world intraday trading scenarios.",Value-based Method,Algorithmic Trading,"The ensemble of Deep Q‑learning agents (Multi‑DQN) outperforms the conventional Buy‑and‑Hold strategy in intraday trading experiments.
The proposed method achieves better performance (in terms of return and risk-adjusted metrics) compared to using a single DQN or standard supervised classifiers.
The ensemble approach demonstrates that combining multiple agents—each trained with different experiences—can reduce overfitting and provide more robust trading signals.","The study acknowledges the challenges inherent in stock market forecasting due to the noisy and unstable nature of historical data.
There is sensitivity to parameter settings (such as the choice of network architecture, exploration rate, and agreement thresholds for ensembling), which may require extensive tuning.
Although not exhaustively detailed, potential issues like overfitting and the generalizability of the approach across different market conditions are implicit concerns.",Derivative,2,Real-world Data,Other: Hourly,Time Series,None,,17.09.2007,29.05.2017,No,Europe; North America,Yes,Yes,Different timeframes,No,No,Yes,No,"PnL; Max drawdown; Other: Accuracy, Coverage, Sortino ratio",Yes,Yes,Simulation-based,Yes,Random or Naive Strategies,Yes,No,No,No
114,Carta 2021,Multi-DQN: An ensemble of Deep Q-learning agents for stock market forecasting,Consensus,Carta 2021a,Multi-DQN: An ensemble of Deep Q-learning agents for stock market forecasting,"Computer Science, Engineering",Primary,"To develop an ensemble approach (Multi‑DQN) that combines multiple Deep Q‑learning agents trained on the same data but at different epochs.
To forecast stock market trends without relying on supervised labels, by directly maximizing a return function (i.e., learning to trade via reinforcement learning).
To reduce overfitting and improve robustness by leveraging the diversity among multiple agents.
To compare the performance of the proposed ensemble against a standard Buy‑and‑Hold strategy in real-world intraday trading scenarios.",Value-based Method,Algorithmic Trading,"The ensemble of Deep Q‑learning agents (Multi‑DQN) outperforms the conventional Buy‑and‑Hold strategy in intraday trading experiments.
The proposed method achieves better performance (in terms of return and risk-adjusted metrics) compared to using a single DQN or standard supervised classifiers.
The ensemble approach demonstrates that combining multiple agents—each trained with different experiences—can reduce overfitting and provide more robust trading signals.","The study acknowledges the challenges inherent in stock market forecasting due to the noisy and unstable nature of historical data.
There is sensitivity to parameter settings (such as the choice of network architecture, exploration rate, and agreement thresholds for ensembling), which may require extensive tuning.
Although not exhaustively detailed, potential issues like overfitting and the generalizability of the approach across different market conditions are implicit concerns.",Derivative,2,Real-world Data,Other: Hourly,Time Series,None,,17.09.2007,29.05.2017,No,Europe; North America,Yes,Yes,Different timeframes,No,No,Yes,No,"PnL; Max drawdown; Other: Accuracy, Coverage, Sortino ratio",Yes,Yes,Simulation-based,Yes,Random or Naive Strategies,Yes,No,No,No
113,Du 2023,A novel crude oil futures trading strategy based on volume-price time-frequency decomposition with ensemble deep reinforcement learning,Mathis Jander,Du2023,A novel crude oil futures trading strategy based on volume-price time-frequency decomposition with ensemble deep reinforcement learning,"Energy, Engineering, Environmental Science, Mathematics",Primary,The study introduces a deep reinforcement learning (DRL)-based ensemble trading strategy for crude oil futures trading.,Policy-based Method; Actor-Critic Method,Algorithmic Trading,"Utilization of time-varying market efficiency.
Combination of time-frequency feature extraction decomposition algorithm for volume-price data with DRL algorithm.
Adoption of multi-agent ensemble strategy.","Results do not account for market impact.
Long period of market testing required before practical application.
",Commodity,1,Real-world Data,Daily,Time Series,Market Data,,02.01.2015,30.06.2022,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,None,No,No,No,No,"Sharpe ratio; Other: Cumulative return, Annualized return, Annualized volatility, Maximum retracement rate",No,No,Simulation-based,Yes,State of the Art Algorithms,Yes,No,No,No
113,Du 2023,A novel crude oil futures trading strategy based on volume-price time-frequency decomposition with ensemble deep reinforcement learning,Consensus,Du2023,A novel crude oil futures trading strategy based on volume-price time-frequency decomposition with ensemble deep reinforcement learning,"Energy, Engineering, Environmental Science, Mathematics",Primary,The study introduces a deep reinforcement learning (DRL)-based ensemble trading strategy for crude oil futures trading.,Policy-based Method; Actor-Critic Method,Algorithmic Trading,"Utilization of time-varying market efficiency.
Combination of time-frequency feature extraction decomposition algorithm for volume-price data with DRL algorithm.
Adoption of multi-agent ensemble strategy.","Results do not account for market impact.
Long period of market testing required before practical application.
",Commodity,1,Real-world Data,Daily,Time Series,Market Data,,02.01.2015,30.06.2022,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,None,No,No,No,No,"Sharpe ratio; Other: Cumulative return, Annualized return, Annualized volatility, Maximum retracement rate",No,No,Simulation-based,Yes,State of the Art Algorithms,Yes,No,No,No
112,Pourahmadi 2024,A Novel Stock Trading Model based on Reinforcement Learning and Technical Analysis,Mathis Jander,Pourahmadi2024,A Novel Stock Trading Model Based on Reinforcement Learning and Technical Analysis,"Business, Management and Accounting; Computer Science, Decision Sciences",Primary,Propose and evaluate an RL-based model enhanced with technical analysis indicators and action-space restrictions.,Actor-Critic Method,Algorithmic Trading,"Showed how technical indicators can be used as side information for RL method.
Discussed improvement of RL method through imposing restrictions on the output of the RL agent.",none,Equity (Stocks),1,Real-world Data,Daily,Time Series,Market Data,,01.01.2020,31.12.2020,No,North America,No,Yes,Different timeframes,No,No,Yes,No,Other: Return,No,No,Simulation-based,Yes,Market Indexes; Random or Naive Strategies,,Yes,No,No
112,Pourahmadi 2024,A Novel Stock Trading Model based on Reinforcement Learning and Technical Analysis,Consensus,Pourahmadi2024,A Novel Stock Trading Model Based on Reinforcement Learning and Technical Analysis,"Business, Management and Accounting; Computer Science, Decision Sciences",Primary,Propose and evaluate an RL-based model enhanced with technical analysis indicators and action-space restrictions.,Actor-Critic Method,Algorithmic Trading,"Showed how technical indicators can be used as side information for RL method.
Discussed improvement of RL method through imposing restrictions on the output of the RL agent.",none,Equity (Stocks),1,Real-world Data,Daily,Time Series,Market Data,,01.01.2020,31.12.2020,No,North America,No,Yes,Different timeframes,No,No,Yes,No,Other: Return,No,No,Simulation-based,Yes,Market Indexes; Random or Naive Strategies,Yes,Yes,No,No
108,Cortés 2024,Portfolio construction using explainable reinforcement learning,Mathis Jander,Cortes2024,Portfolio construction using explainable reinforcement learning,"Computer Science, Engineering, Mathematics",Primary,"The study aims to develop an explainable reinforcement learning (RL) model for portfolio construction, addressing the lack of transparency in RL-based financial models. ",Actor-Critic Method,Portfolio Management,First work to provide explanations for RL portfolio creation.,"Only tested on ten CAC40 stocks.
Limited exploration of input variables used by agent.
Implementation is tailored for risk-neutral investors.",Equity (Stocks),10,Real-world Data,Daily,Time Series,Market Data,,03.01.2005,31.12.2021,No,Europe,Yes,Yes,None,No,No,Yes,No,Sharpe ratio; PnL; Max drawdown,No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines,Yes,No,No,No
108,Cortés 2024,Portfolio construction using explainable reinforcement learning,Consensus,Cortes2024,Portfolio construction using explainable reinforcement learning,"Computer Science, Engineering, Mathematics",Primary,"The study aims to develop an explainable reinforcement learning (RL) model for portfolio construction, addressing the lack of transparency in RL-based financial models. ",Actor-Critic Method,Portfolio Management,First work to provide explanations for RL portfolio creation.,"Only tested on ten CAC40 stocks.
Limited exploration of input variables used by agent.
Implementation is tailored for risk-neutral investors.",Equity (Stocks),10,Real-world Data,Daily,Time Series,Market Data,,03.01.2005,31.12.2021,No,Europe,Yes,Yes,None,No,No,Yes,No,Sharpe ratio; PnL; Max drawdown,No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines,Yes,No,No,No
103,Kwak 2023,Self-attention based deep direct recurrent reinforcement learning with hybrid loss for trading signal generation,Mathis Jander,Kwak2023,Self-attention based deep direct recurrent reinforcement learning with hybrid loss for trading signal generation,"Computer Science, Decision Sciences, Engineering, Mathematics",Primary,Propose a novel trading model (SA-DDR-HL) to enhance trading signal generation by learning temporal dependencies and improving feature embedding.,Policy-based Method; Actor-Critic Method,Algorithmic Trading,"Showed that joint structure of RL, supervised-unsupervised hybrid learning and reallocating temporal weights using self-attention can improve trading performance compared to benchmark.",none,Equity (Stocks),14,Real-world Data,Daily,Time Series,Market Data,,01.01.2000,08.01.2020,No,North America,No,Yes,Different time series,No,Yes,No,No,"Sharpe ratio; PnL; Max drawdown; Other: Annualized percentage return, Sortino ratio",No,No,Simulation-based,Yes,Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
103,Kwak 2023,Self-attention based deep direct recurrent reinforcement learning with hybrid loss for trading signal generation,Consensus,Kwak2023,Self-attention based deep direct recurrent reinforcement learning with hybrid loss for trading signal generation,"Computer Science, Decision Sciences, Engineering, Mathematics",Primary,Propose a novel trading model (SA-DDR-HL) to enhance trading signal generation by learning temporal dependencies and improving feature embedding.,Policy-based Method; Actor-Critic Method,Algorithmic Trading,"Showed that joint structure of RL, supervised-unsupervised hybrid learning and reallocating temporal weights using self-attention can improve trading performance compared to benchmark.",none,Equity (Stocks),14,Real-world Data,Daily,Time Series,Market Data,,01.01.2000,08.01.2020,No,North America,No,Yes,Different time series,No,Yes,No,No,"Sharpe ratio; PnL; Max drawdown; Other: Annualized percentage return, Sortino ratio",No,No,Simulation-based,Yes,Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
101,Sun 2024,Combining transformer based deep reinforcement learning with Black-Litterman model for portfolio optimization,Mathis Jander,Sun2024a,Combining transformer based deep reinforcement learning with Black-Litterman model for portfolio optimization,Computer Science,Primary,Integrate the Black-Litterman (BL) model into a DRL framework to address the inability of standard DRL agents to capture dynamic correlations in asset returns.,Policy-based Method,Portfolio Management,"Trained DRL agent to learn policy by applying Black-Litterman model.
Showed that proposed approach outperforms comparative strategies in US market.","BL model assumes that asset returns follow Gaussian distribution.
Test performance was worse than during training.",Equity (Stocks),30,Real-world Data,Daily,Time Series,None,,01.01.2018,31.12.2022,No,North America,No,Yes,Different timeframes,No,No,Yes,No,"Sharpe ratio; Other: Accumulated return, Daily return, Standard deviation, Low partial standard deviation, Sortino ratio",No,No,Simulation-based,Yes,Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
101,Sun 2024,Combining transformer based deep reinforcement learning with Black-Litterman model for portfolio optimization,Consensus,Sun2024a,Combining transformer based deep reinforcement learning with Black-Litterman model for portfolio optimization,Computer Science,Primary,Integrate the Black-Litterman (BL) model into a DRL framework to address the inability of standard DRL agents to capture dynamic correlations in asset returns.,Policy-based Method,Portfolio Management,"Trained DRL agent to learn policy by applying Black-Litterman model.
Showed that proposed approach outperforms comparative strategies in US market.","BL model assumes that asset returns follow Gaussian distribution.
Test performance was worse than during training.",Equity (Stocks),30,Real-world Data,Daily,Time Series,None,,01.01.2018,31.12.2022,No,North America,No,Yes,Different timeframes,No,No,Yes,No,"Sharpe ratio; Other: Accumulated return, Daily return, Standard deviation, Low partial standard deviation, Sortino ratio",No,No,Simulation-based,Yes,Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
100,Jin 2023,A Mean-VaR Based Deep Reinforcement Learning Framework for Practical Algorithmic Trading,Mathis Jander,Jin2023,A Mean-VaR Based Deep Reinforcement Learning Framework for Practical Algorithmic Trading,"Computer Science, Engineering, Materials Science",Primary,Develop a Mean-VaR-based portfolio optimization model using Deep Reinforcement Learning (DRL).,Actor-Critic Method,,"Proposed novel algorithm that balances risk and return in long-term investment horizons.
Compared performance of algorithms with and without shortselling.
Leveraged Ape-X to speed up training.",none,Equity (Stocks),10,Real-world Data,Daily,Time Series,None,,01.01.2008,31.09.2022,No,North America,No,Yes,Different time series,No,Yes,Yes,Yes,"Sharpe ratio; Max drawdown; Other: Total return, Sortino ratio, Value at risk, Standard deviation of portfolio returns",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines,Yes,No,No,No
100,Jin 2023,A Mean-VaR Based Deep Reinforcement Learning Framework for Practical Algorithmic Trading,Consensus,Jin2023,A Mean-VaR Based Deep Reinforcement Learning Framework for Practical Algorithmic Trading,"Computer Science, Engineering, Materials Science",Primary,Develop a Mean-VaR-based portfolio optimization model using Deep Reinforcement Learning (DRL).,Actor-Critic Method,Algorithmic Trading,"Proposed novel algorithm that balances risk and return in long-term investment horizons.
Compared performance of algorithms with and without shortselling.
Leveraged Ape-X to speed up training.",none,Equity (Stocks),10,Real-world Data,Daily,Time Series,None,,01.01.2008,31.09.2022,No,North America,No,Yes,Different time series,No,Yes,Yes,Yes,"Sharpe ratio; Max drawdown; Other: Total return, Sortino ratio, Value at risk, Standard deviation of portfolio returns",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines,Yes,No,No,No
99,Sun 2023,Reinforcement Learning for Quantitative Trading,Mathis Jander,Sun2023b,Reinforcement Learning for Quantitative Trading,"Computer Science, Mathematics",Secondary,Provide a comprehensive survey of reinforcement learning (RL) applications in quantitative trading (QT).,Other: na,Other: na,"Reviewed existing works on RL-based QT applications.
Categorized existing works from different perspectives.
Analyzed advantages and disadvantages of RL techniques for QT.
Discussed current challenges and pointed out future research directions.",none,Other: na,na,Other: na,Other: na,Other: na,Other: na,,-,-,No,,No,No,Other: na,No,No,No,No,Other: na,No,No,,No,n/a,n/a,Yes,Yes,Yes
99,Sun 2023,Reinforcement Learning for Quantitative Trading,Consensus,Sun2023b,Reinforcement Learning for Quantitative Trading,"Computer Science, Mathematics",Secondary,Provide a comprehensive survey of reinforcement learning (RL) applications in quantitative trading (QT).,Other: na,Other: na,"Reviewed existing works on RL-based QT applications.
Categorized existing works from different perspectives.
Analyzed advantages and disadvantages of RL techniques for QT.
Discussed current challenges and pointed out future research directions.",none,Other: na,na,Other: na,Other: na,Other: na,Other: na,,-,-,No,,No,No,Other: na,No,No,No,No,Other: na,No,No,Simulation-based,No,n/a,n/a,Yes,Yes,Yes
98,Lin 2022,Multiagent-based deep reinforcement learning for risk-shifting portfolio management,Mathis Jander,Lin2022,Multiagent-based deep reinforcement learning for risk-shifting portfolio management,Computer Science,Primary,Develop a multiagent-based deep RL (MABDRL) framework,Actor-Critic Method,Portfolio Management,"Developed multiagent-based DRL framework to learn effective portfolio management.
Enabled RL agent to learn risk-shifting behavior with stable convergence.
Outperformed previous SOTA model by 37% on risk-adjusted Sharpe ratio.
First study to apply MABDRL to portfolio management in the domain of quantitative hedge funds.",none,Equity (Stocks),9,Real-world Data,Minute,Time Series,Market Data,,01.01.2008,30.09.2017,No,North America,No,Yes,Different time series; Different timeframes,No,Yes,Yes,No,"Sharpe ratio; Max drawdown; Other: Annual return, Cumulative returns, Annual volatility, Calmar ratio, Sortino ratio",No,No,Simulation-based,Yes,Market Indexes; Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,Yes,No
98,Lin 2022,Multiagent-based deep reinforcement learning for risk-shifting portfolio management,Consensus,Lin2022,Multiagent-based deep reinforcement learning for risk-shifting portfolio management,Computer Science,Primary,Develop a multiagent-based deep RL (MABDRL) framework,Actor-Critic Method,Portfolio Management,"Developed multiagent-based DRL framework to learn effective portfolio management.
Enabled RL agent to learn risk-shifting behavior with stable convergence.
Outperformed previous SOTA model by 37% on risk-adjusted Sharpe ratio.
First study to apply MABDRL to portfolio management in the domain of quantitative hedge funds.",none,Equity (Stocks),9,Real-world Data,Minute,Time Series,Market Data,,01.01.2008,30.09.2017,No,North America,No,Yes,Different time series; Different timeframes,No,Yes,Yes,No,"Sharpe ratio; Max drawdown; Other: Annual return, Cumulative returns, Annual volatility, Calmar ratio, Sortino ratio",No,No,Simulation-based,Yes,Market Indexes; Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,Yes,No
96,Huang 2024,A novel deep reinforcement learning framework with BiLSTM-Attention networks for algorithmic trading,Mathis Jander,Huang2024b,A novel deep reinforcement learning framework with BiLSTM-Attention networks for algorithmic trading,"Computer Science, Engineering",Primary,"Develop an enhanced stock trading strategy using a Deep State-Action-Reward-State-Action (SARSA) reinforcement learning model.
Integrate BiLSTM-Attention networks to extract key features and patterns from stock market data.",Value-based Method,Algorithmic Trading,"Proposed DRL model called Efficient Deep SARSA 
for the development of single-asset trading strategies.
Introduced BiLSTM-Attentation to represent stock markets accurately.
Proposed model outperforms classical and DRL-based strategies on benchmark.

","Model underutilizes empirical interaction data.
Current algorithms are tailored to specific assets.
Market impact and slippage are not considered.",Equity (Stocks),4,Real-world Data,Daily,Time Series,None,,01.01.2008,31.12.2022,No,North America,No,Yes,Different time series,No,No,Yes,No,"Sharpe ratio; Other: Cumulative return, Annualized return",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
96,Huang 2024,A novel deep reinforcement learning framework with BiLSTM-Attention networks for algorithmic trading,Consensus,Huang2024b,A novel deep reinforcement learning framework with BiLSTM-Attention networks for algorithmic trading,"Computer Science, Engineering",Primary,"Develop an enhanced stock trading strategy using a Deep State-Action-Reward-State-Action (SARSA) reinforcement learning model.
Integrate BiLSTM-Attention networks to extract key features and patterns from stock market data.",Value-based Method,Algorithmic Trading,"Proposed DRL model called Efficient Deep SARSA 
for the development of single-asset trading strategies.
Introduced BiLSTM-Attentation to represent stock markets accurately.
Proposed model outperforms classical and DRL-based strategies on benchmark.

","Model underutilizes empirical interaction data.
Current algorithms are tailored to specific assets.
Market impact and slippage are not considered.",Equity (Stocks),4,Real-world Data,Daily,Time Series,None,,01.01.2008,31.12.2022,No,North America,No,Yes,Different time series,No,No,Yes,No,"Sharpe ratio; Other: Cumulative return, Annualized return",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
95,Kan 2024,Learning and processing framework using Fuzzy Deep Neural Network for trading and portfolio rebalancing,Mathis Jander,Kan2024,Learning and processing framework using Fuzzy Deep Neural Network for trading and portfolio rebalancing,Computer Science,Primary,Develop an interpretable fuzzy deep neural network (IFDNN) integrated into a framework for financial market forecasting.,Actor-Critic Method,Portfolio Management,"Created interpretable deep structure using fuzzy logic.
Proposed learning and processing framework.
Presented improved trading strategy using f-MACD.
Compared performance of two RL models in proposed framework.","Only used MACD technical indicators for detecting herd behavior.
Maximum value of membership clusters for fuzzy rules is chosen based on domain knowledge.",Equity (Stocks),3,Real-world Data,Daily,Time Series,None,,01.01.1998,31.12.2021,No,Europe; North America,No,Yes,None,No,Yes,Yes,Yes,Sharpe ratio; Max drawdown; Other: Returns,No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines,Yes,No,Yes,No
