Code,Description,Budget,Cordis Link,Website
Next generation high-speed optical networks for metro access,"Connectivity is the major driver in the modern “information society”, where the range of data-driven applications is exploding, and new information-based value chains are rapidly emerging. Optical networks are the backbone of the global communication infrastructure, interconnecting billions of people and a huge number of various autonomous devices, control systems, and machines. Optical systems’ development incites the skyrocketing growth in the demand for data exchange and harnessing, fuelled by web-based services such as ultra-HD streaming, cloud services, 5G proliferation, fostering the changes in the digital world, and shaping the structure of the modern society. The demand growth is especially pronounced in the access and metro links, where data rates largely exceeding the current <1 Tb/s will be required. Moreover, the COVID-19 – with the huge number of people working from home – has intensified the pressure on the optical networks. Also, features such as the financial cost of the system elements, latency, dynamic reconfigurability, and energy consumption gain progressively more importance for the new generation of access and metro networks.

The Doctorate Network NESTOR will answer the How? When? and Where? coherent optical transceiver will be deployed in metro-aggregation optical networks to meet the demand for new cost-efficient solutions. NESTOR will also address the Who? by providing advanced training to 10 Fellows - from a new generation of engineers - with PhD projects significantly expanding the flexibility and capacity of access/metro networks. NESTOR harnesses the complementary expertise of the top academic groups (Aston, PoliTO, UPC, SSSA, and TU/e) and core telecom industry (Infinera, BT, Orange, SM-Optics, VPI and Ericsson). NESTOR will provide Fellows with a uniquely broad education ranging from recent advances in ML&AI to real-world telecom engineering, which will enable them to design and implement high-capacity access and metro networks.",2564510.4,https://cordis.europa.eu/project/id/101119983,na
BIOabsorbable Metallic ENDovascular Medical Devices (BIOMEND) Doctoral Network,"In the field of endovascular medicine, the challenge of creating devices that are durable and biocompatible hinders progress. The demand for innovative solutions has led to the BIOMEND project. With the support of the Marie Skłodowska-Curie Actions programme, this industrial doctorate network (DN) programme spans seven European countries. The programme’s ambitious goal is to train 15 doctoral candidates in developing cutting-edge bio-absorbable metals, specifically, ultra-fine grain Magnesium and Zinc alloys. These alloys hold the potential to revolutionise endovascular medicine by offering high strength, excellent creep performance, and enhanced corrosion properties, marking significant progress towards creating groundbreaking bio-absorbable metallic endovascular medical devices.",4039790.4,https://cordis.europa.eu/project/id/101120006,http://www.nuigalway.ie/
Economic POlicies for the Global bifurcation - Doctoral Network,"Human activities jeopardise the habitability of the planet and our capacity to formulate comprehensive and democratic solutions for its restoration. The MSCA-funded EPOG-DN project aims to establish a community of economists capable of collaborating with various disciplines, sectors and stakeholders to address ecological challenges. This project explores the pathways toward achieving strong sustainability, where social, economic and environmental objectives are not substitutable with each other. The project introduces the concept of global bifurcation, which encompasses a range of multidimensional and systemic processes. The project proposes a distinctive strategy for tackling the complexity of global bifurcation, which involves a socio-technical, socio-economic and socio-ecological perspective, all working in concert to develop a systemic approach.",2733912.0,https://cordis.europa.eu/project/id/101120127,http://www.utc.fr/
"A cutting edge integrated approach to sperm biology and associated reproductive biotechnologies to assist the dairy and beef industries meet growing societal, environmental and economic demands","BullNet, consisting of 8 beneficiaries and 13 associated partner organisations, will build a multi-disciplinary and inter-sectorial research programme designed to unravel the complex underlying biology of compromised fertility of individual bulls. Cutting-edge basic, applied and machine-learning approaches will be used to deliver a robust, flexible semen product from young, appropriately reared and managed, first-season elite sires that can be used successfully for artificial insemination (AI) with predictable and consistent fertility, so as to provide the industry with key tools to meet current emissions and animal welfare demands. BullNet will also lead to the advancement of knowledge in how bull management strategies and semen processing affect the functional and molecular characteristics of sperm, thus opening scientific horizons for new applications in the area of assisted reproduction. The overall aim of this programme is to train a new generation of creative, entrepreneurial and innovative doctoral candidates (DCs) in the area of bull fertility. BullNet will expose DCs to different sectors and they will acquire a comprehensive set of transferable skills working in the specific research area relating to their individual research projects, with an emphasis on the need for technology transfer from academic institutions to commercial users. Moreover, given the wide range of academic and industry organisations involved, the DCs will be able to face current and future challenges in order to convert knowledge and ideas into products and services for economic, technological and societal benefit.",2718979.2,https://cordis.europa.eu/project/id/101120104,na
Industry empowerment to Multiphase fluid dynamics simulations using Artificial intelligence and Statistical methods on modern hardware architectures at Scale,"Transitioning to greener energy solutions and improving energy production and efficiency requires the introduction and development of various technologies that utilise multi-phase, trans/supercritical, and non-Newtonian fluid flows with heat and mass transfer capabilities. However, direct numerical simulations cannot provide the necessary accuracy required for their development. The MSCA-funded SCALE project aims to develop novel simulation solutions and models that use machine learning, which are data-driven and physics-informed. The project will utilise specialised databases and LES and RANS simulations to assess and train the solutions. Furthermore, it will collaborate with industry experts to provide training and optimise the development and validation of these solutions.",2635135.2,https://cordis.europa.eu/project/id/101120014,http://www.med.uni-magdeburg.de/fme/institute/iim/
Engineering biological signaling pathways using synthetic cells,"Facing the challenges of the XXIst century related to climate, energy and health requires the development of new biotechnologies. Synthetic approaches of biology represent an opportunity for applications where living cells are inefficient, inadapted or undesired. Yet, ‘Only cells can make cells’ remains to date an unrefutable fundamental reality and constructing de novo living systems represents the new frontier of biotechnology. The IT industry developed over the years highly complex and integrated microsystems, based on building blocks such as the transistor and fundamental principles of electrodynamics and quantum physics. The analogon for biology must still be unraveled to develop the biotechnologies of the next century.

Our aim is to produce life-like systems of synthetic cells in interaction with their environment. We will train Doctoral Candidates to develop a toolbox of experimental building blocks, based upon soft microcompartments, molecular transporters, DNA nanotechnologies, optical technologies and microtechnologies, for the construction and integration of large population of interacting synthetic cells. Because they are built from scratch with a high-level of functional characterization and control, these cells will allow to unravel fundamental principle in life complexity and, at the same time, become integrable building blocks - analogon of the transistors of the IT industry - of a new type of biotechnology. They will pave the way for applications of synthetic cells addressing the pressing needs of the XXIst century, in energy harvesting, biomass and raw matter transformation, bio-remediation or therapeutics.

Our network based upon interdisciplinarity in research and innovation, will train the next generation of independent and responsible scientists to address pressing global challenges through the build up of fundamental knowledge and sustainable innovations.",2672589.6,https://cordis.europa.eu/project/id/101119961,na
"Innovative and sustainable materials, processes and technologies for a GREENer and circular economy","New solutions, innovations and policies need to be implemented and integrated to achieve the goals of the European Green Deal, with a specific focus on technologies that promote circular economies for enhancing renewable energy sources and resource efficiency. The MSCA-funded GreenX3 project supports the attainment of these objectives by employing chemical tools to develop solutions for addressing current environmental challenges. To accomplish this, the project’s initial steps include the examination of environmentally friendly materials and an assessment of the impact of commonly used materials. Subsequently, the project will devise and implement innovative, eco-friendly industrial processes. Finally, it will explore strategies for introducing crucial enabling technologies aimed at enhancing quality and resource efficiency.",2630361.6,https://cordis.europa.eu/project/id/101120061,na
Understanding Latin American Challenges in the 21st Century,"Social, political, and cultural transformations, along with a changing global economy and geopolitical tensions, have created a significantly different context for EU policies concerning Latin America and the Caribbean (LAC). The MSCA-funded LAC-EU project’s objective is to establish an interdisciplinary framework for comprehending LAC and its relationship with the EU. The project advocates for non-Eurocentric research and aims to support sustainable and prosperous relations between these two world regions. Moreover, it offers a PhD programme focused on interdisciplinary research and training in social and political sciences, law, and humanities. LAC-EU covers various themes, including populism, democracy, gender, trade, migration, health, global cities, sustainability, and cultural studies. Ultimately, LAC-EU will provide EU institutions and European stakeholders with insights to develop policies towards LAC.",2547007.2,https://cordis.europa.eu/project/id/101120060,http://www.ibei.org/
Sustainable Transitions through Democratic Design,"The numerous efforts by countries and organisations to implement green solutions and adopt policies and technologies aimed at mitigating the risks of climate change create a pressing demand for transdisciplinary researchers who can effectively oversee and enhance these initiatives. However, the rapid shift in demand and the absence of prior programmes offering the necessary training have resulted in this demand going unmet. The MSCA-funded CoDesign4Transitions project has set its sights on furnishing 10 early-stage transdisciplinary researchers with training and experience in areas such as design for sustainability, democratic innovation and climate transitions. This initiative will equip them to meet this demand and promote sustainable transitions through democratic design.",2643825.6,https://cordis.europa.eu/project/id/101120074,http://www.polimi.it/
Cochlear implants and spatial hearing: Enabling access to the next dimension of hearing,"The loss of inner hair cells in the cochlea causes deafness. Since the first trial of a cochlear implant in 1957, cochlear implants have been developed to the point where they can (re-)restore hearing and speech understanding in a large proportion of patients. Although spatial hearing is central to controlling and directing attention and to enabling speech understanding in noisy environments it has been largely neglected. In current implants, matching of binaural information, a basic prerequisite for spatial hearing, is not yet implemented. Furthermore, intensive rehabilitation programs are lacking. The here proposed interdisciplinary doctoral network in which physicians, psychologists and engineers collaborate, aims at the improvement of spatial hearing in cochlear implant users. In ten different interconnected projects spatial hearing will be improved by (1) applying machine learning algorithms to identify sounds sources and to provide the information to CI users through visual or tactile spatial cues, (2) examining physiological impairments of spatial hearing in CI users and matching the imbalance of the binaural inputs, and by (3) patient-centered training programs that make use of virtual environments. The doctoral training network will provide the next generation of researchers and engineers that will have a good understanding of the multifaceted problems of spatial hearing and that will be equipped with expertise and skills to come up with innovative solutions in this field. The collaboration between academia and the private sector enables the realisation of new solutions for spatial hearing with CIs, thus enabling deaf patients to substantially improve their hearing.",2630361.6,https://cordis.europa.eu/project/id/101120054,na
COnfident DEcisions,"Confidence shapes our choices in all realms of life, including in academia and industry. However, despite significant strides in research, the intricacies of decision confidence remain elusive, hindering real-world applications. With the support of the Marie Skłodowska-Curie Actions programme, the CODE project is an international, interdisciplinary initiative addressing this critical gap. By training doctoral students to become the future experts in decision confidence, CODE aims to break down silos between academia, industry, and the clinic. This collaborative effort promises transformative insights, paving the way for innovative applications in education, healthcare, and technology.",2446322.4,https://cordis.europa.eu/project/id/101119647,http://www.radboudumc.nl/
Surface and Interface phenomena in sustainable energy storage systems,"In order to achieve the necessary goals for reducing the damage caused by climate change, it is crucial to develop novel and improved batteries and other energy storage system technologies. This is essential as it would help address the challenge of fluctuating renewable electricity production. However, there has been limited research into the processes that control chemical and physical processes at surfaces and interfaces. The MSCA-funded StoreAGE project has the goal of establishing an innovative doctoral network dedicated to these processes, aiming to optimise them for enhancing existing energy storage systems and enabling the creation of more advanced ones. Additionally, the project will provide specialised training for PhD candidates in this field.",2888085.6,https://cordis.europa.eu/project/id/101119913,na
Exploring the Deep Universe by Computational Analysis of Data from Observations,"In recent years, there has been a significant increase in space research and observations. Better equipment has been developed and introduced, and more resources are being used. However, despite these advancements, many faint galaxies can still go unnoticed. Therefore, innovative developments in information technology are needed. The MSCA-funded EDUCADO project aims to foster extensive collaboration between the fields of astronomy and computer science. This collaboration will leverage the expertise of specialists from both sectors to detect previously unseen numbers of faint observable galaxies, analyse the frequency, types and characteristics of dwarf galaxies, and compare them to the Milky Way. The project will also provide training for 10 doctoral candidates to develop high-quality methods in these fields.",2629382.4,https://cordis.europa.eu/project/id/101119830,http://www.iac.es/
trAining younG researchers On shaping MetaveRse for business and social vAlue (AGORA),"Metaverses operate in real time, and their widespread adoption is expected to create digital public spaces that enhance online interactions and integrate them with the physical world. To maximise benefits, Europe should take a leading role in this field and address new challenges in alignment with its values. The MSCA-funded AGORA project addresses the issue of the limited availability of doctoral programmes that explore the business and social value of metaverses beyond just technical understanding. It also aims to identify and address any potential unintended consequences associated with them. The project intends to establish a strong foundation of critical research and train researchers to comprehend the infrastructure of the metaverse, navigate its levels of business and societal value, and make the most of research results.",3829874.4,https://cordis.europa.eu/project/id/101119937,http://www.unic.ac.cy/
Innovative Applications of Extracorporeal Photopheresis in Solid Organ Transplantation,"Organ transplantation remains the only definitive treatment for end-stage heart, lung, liver or kidney disease. Early transplant outcomes are now generally excellent, dramatically reducing patients’ mortality and morbidity. Nevertheless, transplantation still faces significant obstacles, especially long-term immunosuppression-related toxicity and chronic decline of transplant function, which are the leading causes of transplant failure. To break these barriers, which represent a very significant societal and economic burden in the EU, there is a need for innovative therapies to lessen our reliance on conventional immunosuppression and better control non-resolving inflammation. Extracorporeal photopheresis (ECP) is now being investigated as a personalized, adjunct immunosuppressive therapy in some organ transplant settings. However, ECP is regarded as a controversial therapy, primarily because current understanding of its pharmacological actions is incomplete, but also because there remain questions about optimal manufacturing processes, quality-control and personalized clinical indications. The exTra project asks whether a better mechanistic understanding of ECP can guide us more efficiently towards novel applications. Specifically, exTra brings together European experts in clinical transplantation, immunology, pharmaceutical development, computational biology and medical device manufacture to address key questions through a coordinated, interdisciplinary effort. exTra proposes 10 independent doctoral research projects with the ambition of providing its trainees with a comprehensive understanding of basic and translational immunology, especially relating development and licensing of new immunotherapies. Through its research and training activities, the exTra project will contribute to scientific advancement and innovation in Europe, ultimately leading to societal and economic benefits stemming from clinical innovations in transplant immunotherapy and beyond.",2613103.2,https://cordis.europa.eu/project/id/101119855,na
Myopia - from genes and environment to cellular responses and treatment,"""In modern industrial societies, myopia has become an important ocular health problem of young people, due to its increased incidence and associated complications, which pose a significant risk of blindness already in the middle life span. Current treatment options have limited effects with a maximum reduction of axial elongation by about 0.4 mm over several years, equivalent to a reduction in myopia by only about 1 D. Eye growth is controlled by an interplay of different biochemical pathways, one inhibitory (stimulated by image plane in front of the retina) and one stimulatory (image plane behind the retina). A novel future strategy would be to activate the inhibitory pathways rather than inhibit the growth stimulating pathways (standard target in most studies). At present, interventions to activate growth inhibition are poorly studied. The influence of environmental factors (spectral composition of ambient light) and gene-environment interactions (specific gene variants and their interaction with key lifestyle exposures) on eye growth and refractive development will be investigated. New pharmacological targets will be identified and tested, and biomarkers established to detect the onset of myopia at an earlier stage. It will be studied how choroidal hypoxia relates to choroidal thinning and axial eye growth and how it interacts with the metabolic processes in the retina and sclera. New measurement techniques will be developed that implement artificial intelligence algorithms to improve diagnostics in myopia studies, especially in the periphery of the visual field. The proposed intersectorial and interdisciplinary """"MyoTreat"""" project (including anatomy, physiology, pharmacology, optics, and genetics) will train PhD students in myopia research and generate and disseminate novel research results. The ultimate scientific goal is to identify new strategies for myopia therapy through hypothesis-driven translational research in various animal models as well as in humans.""",2747743.2,https://cordis.europa.eu/project/id/101119501,na
Innovative marine soundscape characterization to effectively mitigate ocean and sea noise pollution,"Underwater noise generated by anthropic activities pollutes natural marine soundscapes, can pose a serious threat to aquatic wildlife, and may have adverse effects on blue growth. However, despite its significance, underwater noise pollution remains largely misunderstood and poorly assessed due to limited research tools and methods. The MSCA-funded SEASOUNDS project aims to investigate marine soundscapes, enhancing their characterisation and assessment for the purpose of improving underwater noise mitigation solutions. The project intends to systematically incorporate tools from various disciplines, including seismology, to bolster its research and address relevant questions effectively. Furthermore, in addition to its efforts in optimising noise mitigation solutions, the project will provide training to early-stage researchers in the field of noise-pollution-related research and other relevant soft skills.",2790583.2,https://cordis.europa.eu/project/id/101119769,http://www.cnrs.fr/
European Network on the Supramolecular Chemistry of Carbohydrates,"Carbohydrates are nature’s most abundant and versatile molecules and are involved in several diseases (e.g. diabetes, infection, and
cancer metastasis) and other regular processes (e.g. fertilization, immune surveillance and inflammatory responses). Understanding,
monitoring and intervening in these processes could be exploited in medicinal therapies, glycobiology, and biomedical research in
general. Such applications are predicated on the availability of carbohydrate binding molecules (CBMs) that can selectively and
supramolecularly (noncovalently) bind a plethora of carbohydrate molecules ranging from simple monosaccharides to complex
oligosaccharides and glycoconjugates. Technologies that can be developed based on CBMs include: the separation and isolation of
carbohydrate containing molecules; making carbohydrate sensing and detection devices; enabling selective chemistry on
(unprotected) carbohydrates; and a range of bio-functional applications.
While the expertise to design, synthesize, study and exploit CBMs is mostly European, the research groups active in this emerging
field work independent from each other. With this doctoral network grant, we aim to unite this expertise in the ‘European Network for
the Supramolecular Chemistry of Carbohydrates’ (ENSCC). With most of the world’s leading minds on the topic and three companies
that are spearheading technologies in the field, our ENSCC will be a European powerhouse that will lead the academic field globally
for years to come. This will be achieved by sharing expertise, key-infrastructure, molecular building blocks, and –most importantly– by
together training the ten PhDs that this doctoral network grant will fund. This training by a unique network of world-leaders, experts
in the field and companies with an interest in CBMs will perfectly position our PhD students to further develop the field by continuing
their career in academia and/or industry.",2676016.8,https://cordis.europa.eu/project/id/101119492,na
ultra-massive MIMO for future cell-free heterogeneous networks,"The increasing demand of higher data rates while ensuring sustainability through reduced energy consumption levels call for a collective effort to define and set up the new generation of mobile communications. It is expected that some of the newly arising services will need to accurately map the environment for a seamless interaction of the physical and the digital worlds, and then require a combination of communications, positioning and sensing. The vision of MiFuture is that an evolution of massive multiple input – multiple output (MIMO), the technique that has provided the unprecedented spectral efficiency of 5G, towards ultra-massive MIMO (UmMIMO), will be a key ingredient in the future mobile radio access network. MiFuture will pave the path towards the implementation of heterogeneous cell-free networks with an ultra-massive number of antennas that will satisfy the throughput, energy efficiency, positioning accuracy and feasible complexity requirements that the evolution of mobile communications towards 6G demands.
This evolution will require a new generation of excellent researchers able to address the emerging complex engineering problems that the thriving area of mobile communications is facing. MiFuture will develop a high-level personalised multidisciplinary programme to provide 15 Ph.D. candidates, supervised by committed experts from industry and academia, with research competences and transferable skills (e.g. entrepreneurship, project management, IPR, open access) with the long-term goal to lead scientific advances in the new concepts arising in the field of wireless communications. These creative young researchers will face real world implementation, work across multiple European countries and organisations, become knowledgeable in standardisation activities, present at workshops in front of researchers and industrial stakeholders and interact with the general public to make them aware of how 6G can help in their daily lives.",4038994.8,https://cordis.europa.eu/project/id/101119643,na
Time-resolved sImulations of ultrafast phenoMena in quantum matErialS,"Emergent phenomena arising from excitation, correlation, and coherence of electrons, spin, photons and nuclei may open unexplored paths to exploit advanced quantum materials. Modelling and understanding ultrafast non-equilibrium dynamics is the key to quantum computing, to new paradigms for information storage and retrieval, to novel opto-electronic devices for efficient light emission and renewable energy production, and to efficient single-photon quantum emitters.
The TIMES doctoral network will merge different areas of expertise in many-body and time-dependent electronic structure methods to define a new paradigm for the atomistic modelling of nonequilibrium processes in condensed matter. This is an area where the theoretical state-of-the-art is lacking in predictive power. On one hand modeling crucial dynamical processes such as the ones involving energy exchange between electronic and nuclear degrees of freedom out-of-equilibrium remains out of reach for current first-principles approaches. On the other hand, phenomenological and second-principles models lack the granularity required to quantitatively capture the evolution of complex materials.
TIMES will develop first-principles theoretical and computational tools to tackle the coherent and correlated electron-nuclei dynamics
stimulated by ultrafast laser pulses for the understanding of complex quantum states and emergent phenomena in a diverse range of
functional materials like perovskites, 2D materials, Weyl semimetals, Dirac materials and topological insulators. For this purpose,
TIMES will train a new generation of scientists capable of devising novel theoretical and computational frameworks to simulate
nonequilibrium phenomena. TIMES will synergize theoretical and numerical developments with High Performance Computer Centers, SMEs, and big-data facilities across Europe. The network activities will benefit of synergistic collaborations with leading experimental groups in ultrafast spectroscopy.",2647620.0,https://cordis.europa.eu/project/id/101118915,na
Natural microbial interactions in winemaking-associated ecosystems as a tool to foster wine innovation,"Wine production involves intricate interactions between species and their surroundings. Wine science is dedicated to achieving sustainable and eco-friendly production while fulfilling various wine style preferences. To harness the full potential of winemaking diversity, a comprehensive understanding of microorganisms and their roles within these ecosystems is essential. Through the study of these mechanisms, we can enhance the wine industry. The MSCA-funded Eco2Wine project has the goal of educating PhD graduates to effectively manage winemaking ecosystems and preserve biodiversity, all while promoting the sustainability of wine production and the creation of ‘natural wine’. The training programme encompasses wine ecology, innovation, business and science communication. The consortium provides training in collaboration with private companies.",2440396.8,https://cordis.europa.eu/project/id/101119480,http://www.unimi.it/
Unveiling Earth’s Critical Resources for Clean Energy and a Sustainable Future,"The EU’s goal for 2030 is to establish a resilient energy plan that minimises reliance on fossil fuels. This goal drives the demand for sustainable energy sources, such as deep geothermal power, which holds significant potential for long-term heating and electricity generation. In this context, the MSCA-funded EarthSafe doctoral network project will develop a data fusion method that remains robust even when data is missing. Specifically, the project will integrate satellite and land-acquired data sets with AI, probabilistic inverse theory, computer modelling and science communication. Additionally, it will provide training for early-stage researchers. Overall, the project’s objective is to create energy and economic opportunities in disadvantaged communities, while simultaneously advancing Europe’s innovation and technology in alignment with the European Green Deal.",2097900.0,https://cordis.europa.eu/project/id/101120556,http://www.utwente.nl/
zero-CO2 cemeNt ThRough cArBonation of cAlcium Silicates and aluminateS,"CONTRABASS: zero-CO2 cemeNt ThRough cArBonation of cAlcium Silicates and aluminateS.

We live in a world of concrete. According to the Global Cement and Concrete Association (GCCA) cement is consumed at a rate of ~150 tonnes each second, and it accounts for approximately 8% of all CO2 emissions and 7% of industry energy use. In order to mitigate the negative environmental impacts of concrete, Carbon Capture and Utilization (CCU) is the best available strategy: the GCCA estimates that CCU technologies will represent up to 42% of the CO2 reductions necessary to reach the net zero industrial objective in 2050. The CONTRABASS MSCA-DN will act in this framework, in the pathway towards the zero-CO2 cement and concrete production, building a high-quality doctorate network (DN) to investigate the fundamental physico-chemical processes governing the Carbonation of the clinker phases and the cement paste, as well as the subsequent formation of Calcium Carbonate Cements (CCCs).

The carbonation ability of clinker and cement is well known, yet for a full implementation of CCCs by 2050, there is an urgent need of fundamental knowledge on the carbonation process. In this scenario, the CONTRABASS DN aims to contribute to the global reduction of CO2 emissions by accelerating the implementation of Calcium Carbonate Cements, developing fundamental knowledge, practical know-how, and a generation of well-trained specialists to overcome the main challenges identified by our industrial and academic partners. CONTRABASS has 5 main objectives:

1. To identify the carbonation mechanisms of the clinker components, specially calcium aluminates
2. To understand the carbonation processes of the C-S-H gel and the cement paste
3. To unravel the factors that govern CaCO3 polymorphism, nucleation and growth rates
4. To build databases for thermodynamic and reactive-transport modelling of carbonation
5. To communicate effectively the benefits of CCCs to society, media and policy maker.s",2171340.0,https://cordis.europa.eu/project/id/101119715,na
"Tensor modEliNg, geOmetRy and optimiSation","TENORS aims to form the next generation of researchers and engineers in scientific computing and data analysis, disrupting the current paradigms of tensor calculus by exploiting cutting-edge research in geometry and optimisation. Tensors are nowadays ubiquitous in many domains of applied mathematics, computer science, signal processing, data processing, machine learning and in the emerging area of quantum computing. The demand for highly trained scientists with a deep understanding of tensor methods and with advanced knowledge in the geometry of tensor spaces, with skills on the design of efficient algorithms and software handling tensor computation and in the applications of high performance tensor computation is raising, in many fields including machine learning and quantum computation, which are nowadays expanding very quickly.

TENORS contributes to satisfy this demand by fostering scientific and technological advances in the area of tensor sciences, stimulating interdisciplinary and intersectoriality knowledge exchange between algebraists, geometers, computer scientists, numerical analysts, data analysts, physicists, quantum scientists, and industrial actors facing real-life tensor-based problems, in a network of PhD students at its core.

A unique strength of the network is to gather top-researchers of these different domains.
TENORS will train young scientists in academy or industry in how to exploit the best of these techniques efficiently and disseminate this knowledge to industry. As a truly multidisciplinary network, TENORS will at the same time seek to apply these new techniques to real-life applications thanks to the industrial actors involved in the network.",4049582.4,https://cordis.europa.eu/project/id/101120296,na
"Archaeological Coastal Heritage: Past, present and future of a hidden prehistoric legacy","Europe’s archaeological coastal heritage, and especially the remnants of Stone Age hunter-fisher-gatherers, faces severe environmental and human threats. Vulnerable to such threats and inconsistent management, this irreplaceable legacy urgently needs safeguarding. With the support of the Marie Skłodowska-Curie Actions programme, the ArCHe project will train 10 PhD fellows in a groundbreaking past-present-future approach to protect this priceless legacy. The initiative unites academia and non-academic organisations to equip experts in archaeology, coastal engineering, and more, who will contribute to the preservation and integration of Europe’s fragile coastal heritage, facing global challenges head-on. The findings will help preserve and make visible Europe's rich cultural heritage along its vulnerable coastlines.",2737461.6,https://cordis.europa.eu/project/id/101119258,http://www.uio.no/
Topological solitons in ferroics for unconventional computing,"TOPOCOM is a network of leading European groups from different disciplines and sectors selected to provide comprehensive training on the integrative concepts underlying the science of topological solitons in ferroic materials and their application in unconventional computing. Topological solitons are a rich source of emergent physical phenomena and most promising nanoscale systems for future technology, enabling conceptually new pathways for low-energy information processing and sensing, as well as integrated data storage. Many of the developments in the field have occurred only in the past few years and it is clear that we have only scratched the tip of the iceberg concerning the topological solitons that form in electrically or magnetically ordered materials. To realize their potential, the consortium comprises the best groups in materials synthesis and modelling to stabilize such solitons, modelling and studying their dynamical responses to external stimuli, and designing and fabricating devices, where solitons carry out ultralow-power computing and sensing functions. While clearly a challenging topic, there are major benefits that result from a unified treatment of electric and magnetic solitons as realized in this TOPOCOM. The network spans the whole range from fundamental physics and applied materials science - linking both experimental and theoretical aspects - to industrial-scale production and evaluation. The scientific part (“Training through Research”) is complemented by advanced transferable business and cultural skills training (“Training for Life”), providing Europe with a unique training programme at the forefront in unconventional computing based on electric and magnetic solitons. TOPOCOM will establish innovative solutions for more sustainable information technology and educate the next generation of experts, highly qualified to tackle the technological key challenges of growing complexity in an important sector for EU economic development.",2683972.8,https://cordis.europa.eu/project/id/101119608,na
"Cartan and differential geometry, Lie theory, quantum groups and non commutative geometry For novel and Innovative Applications to quantum algorithms and geometric deep learning","Lie theory pervades all areas of mathematics, by providing natural encodings of symmetries; representation theory and Cartan geometry are two of its most successfull manifestations.
CaLiForNIA aims to push the frontier of research in these two key topics, Lie Theory and Cartan Geometry in synergy with the complementary investigations in the areas of quantum groups and more generally non commutative geometry, including physical applications. CaLiFornia goal is to apply the new mathematics originating by the above research to the new and strategic fields of quantum computing and geometric deep learning, top priorities in HorizonEurope.",2504779.2,https://cordis.europa.eu/project/id/101119552,na
Reworlding: Repositioning Participatory Design to Tackle Socio-Environmental Challenges,"In a world divided by socio-environmental issues, urgent actions are thwarted by societal polarisation. Different actors and communities experience these challenges disparately, silencing both human and non-human voices. With the support of the Marie Skłodowska-Curie Actions programme, the REWORLDING project will bring together diverse actors to design inclusive solutions for the interconnected worlds we inhabit. It will give a voice to the silent, including non-human actors like plants and rivers. Through its training programmes and collaborations, REWORLDING will translate research insights into tangible sets of capabilities, connecting project activities to global sustainability efforts. The project will use interdisciplinary methodologies, collective learning, participatory design, and action research.",2811268.8,https://cordis.europa.eu/project/id/101119451,http://www.uhasselt.be/
Training of young scientists in the Biological regulation of the chemokine network to improve treatment of ACTIVE inflammation,"The COVID-19 pandemic revealed the urgent need to address the cytokine/chemokine storms that wreak havoc in the lungs. The tragic loss of over 6.5 million lives underscores the urgency of this challenge. Despite some progress, our understanding of the intricate immune responses remains incomplete. With the support of the Marie Skłodowska-Curie Actions programme, the B-ACTIVE project aims to unite fundamental and clinical scientists with pharmaceutical companies to explore the impact of posttranslational modifications of chemokine ligands and receptors. B-ACTIVE seeks to foster experts with a translational and interdisciplinary mindset. The project’s goal is to enhance our comprehension of inflammatory responses, pinpoint the right drug targets, and actively contribute to pharmaceutical development, ultimately improving patient treatment.",2800864.8,https://cordis.europa.eu/project/id/101120187,http://www.kuleuven.be/
End-to-end multidisciplinary optimal design for improved personalized bioactive glass/ceramic bone substitute implants,"Ageing and trauma pose formidable challenges to the musculoskeletal system, burdening clinical systems with critical-size bone defects. With the support of Marie Skłodowska-Curie Actions, the REBONE project aims to revolutionise bone replacement, using 3D-printed personalised implants crafted from bioactive ceramics. This multidisciplinary initiative promises tailored solutions for improved clinical outcomes, robust materials ensuring mechanical reliability, and advanced manufacturing technologies. To redefine bone health, the project’s innovative approach holds the key to transforming how we address critical-size bone defects, ensuring a personalised, effective and reliable treatment paradigm. REBONE integrates in silico models, advanced computational methods and validation techniques, promising tailored implants for superior osteointegration.",2512687.8,https://cordis.europa.eu/project/id/101119884,http://www.polimi.it/
"INtervention on the DEterminants of, and Expertise in, Physical activity behaviours","Europeans are not getting enough physical activity. Sedentary lifestyles are pervasive, posing a critical threat to public health across Europe. Insufficient physical activity in youth and throughout life contributes to a myriad of health issues. With the support of Marie Skłodowska-Curie Actions, the INDEEP project pioneers an innovative research and training network, aiming to create a new generation of experts dedicated to unravelling the determinants of physical activity and developing evidence-based interventions. By bridging gaps in harmonised European data and addressing research needs, INDEEP builds on the success of past initiatives to provide a comprehensive toolbox for intervention development, fostering evidence-based strategies for improving physical activity in youth and throughout life.",2735136.0,https://cordis.europa.eu/project/id/101120480,na
Darwinian Chemistry Doctoral Network,"Darwinian evolution, described as a remarkable force shaping life, has been a cornerstone for human advancements in agriculture and biotechnology. However, its application has been confined to biological and computational realms, leaving vast untapped potential. The challenge has been extending its creative prowess beyond living organisms. With the support of Marie Skłodowska-Curie Actions, the DarChemDN project aims to create synthetic chemical systems capable of undergoing open-ended Darwinian evolution. This collaborative effort by 10 doctoral candidates marks a pioneering leap into uncharted territory, promising profound implications for applied chemistry and materials science. The project involves developing autocatalytic systems, integrating them into compartments, and enhancing evolvability through metabolism.",2721304.8,https://cordis.europa.eu/project/id/101119956,http://www.rug.nl/
